39.0	20.0	17.0	0.0
40.0	20.0	17.0	0.0
41.0	20.0	17.0	0.0
42.0	20.0	17.0	0.0
43.0	20.0	17.0	0.0
44.0	20.0	17.0	0.0
45.0	20.0	17.0	0.0
46.0	20.0	17.0	0.0
47.0	20.0	17.0	0.0
48.0	20.0	17.0	0.0
49.0	20.0	17.0	0.0
0.0	21.0	17.0	0.0
1.0	21.0	17.0	0.0
2.0	21.0	17.0	0.0
3.0	21.0	17.0	0.0
4.0	21.0	17.0	0.0
5.0	21.0	17.0	0.0
6.0	21.0	17.0	0.0
7.0	21.0	17.0	0.0
8.0	21.0	17.0	0.0
9.0	21.0	17.0	0.0
10.0	21.0	17.0	0.0
11.0	21.0	17.0	0.0
12.0	21.0	17.0	0.0
13.0	21.0	17.0	0.0
14.0	21.0	17.0	0.0
15.0	21.0	17.0	0.0
16.0	21.0	17.0	0.0
17.0	21.0	17.0	0.0
18.0	21.0	17.0	0.0
19.0	21.0	17.0	0.0
20.0	21.0	17.0	0.0
21.0	21.0	17.0	0.0
22.0	21.0	17.0	0.0
23.0	21.0	17.0	0.0
24.0	21.0	17.0	0.0
25.0	21.0	17.0	0.0
26.0	21.0	17.0	0.0
27.0	21.0	17.0	0.0
28.0	21.0	17.0	0.0
29.0	21.0	17.0	0.0
30.0	21.0	17.0	0.0
31.0	21.0	17.0	0.0
32.0	21.0	17.0	0.0
33.0	21.0	17.0	0.0
34.0	21.0	17.0	0.0
35.0	21.0	17.0	0.0
36.0	21.0	17.0	0.0
37.0	21.0	17.0	0.0
38.0	21.0	17.0	0.0
39.0	21.0	17.0	0.0
40.0	21.0	17.0	0.0
41.0	21.0	17.0	0.0
42.0	21.0	17.0	0.0
43.0	21.0	17.0	0.0
44.0	21.0	17.0	0.0
45.0	21.0	17.0	0.0
46.0	21.0	17.0	0.0
47.0	21.0	17.0	0.0
48.0	21.0	17.0	0.0
49.0	21.0	17.0	0.0
0.0	22.0	17.0	0.0
1.0	22.0	17.0	0.0
2.0	22.0	17.0	0.0
3.0	22.0	17.0	0.0
4.0	22.0	17.0	0.0
5.0	22.0	17.0	0.0
6.0	22.0	17.0	0.0
7.0	22.0	17.0	0.0
8.0	22.0	17.0	0.0
9.0	22.0	17.0	0.0
10.0	22.0	17.0	0.0
11.0	22.0	17.0	0.0
12.0	22.0	17.0	0.0
13.0	22.0	17.0	0.0
14.0	22.0	17.0	0.0
15.0	22.0	17.0	0.0
16.0	22.0	17.0	0.0
17.0	22.0	17.0	0.0
18.0	22.0	17.0	0.0
19.0	22.0	17.0	0.0
20.0	22.0	17.0	0.0
21.0	22.0	17.0	0.0
22.0	22.0	17.0	0.0
23.0	22.0	17.0	0.0
24.0	22.0	17.0	0.0
25.0	22.0	17.0	0.0
26.0	22.0	17.0	0.0
27.0	22.0	17.0	0.0
28.0	22.0	17.0	0.0
29.0	22.0	17.0	0.0
30.0	22.0	17.0	0.0
31.0	22.0	17.0	0.0
32.0	22.0	17.0	0.0
33.0	22.0	17.0	0.0
34.0	22.0	17.0	0.0
35.0	22.0	17.0	0.0
36.0	22.0	17.0	0.0
37.0	22.0	17.0	0.0
38.0	22.0	17.0	0.0
39.0	22.0	17.0	0.0
40.0	22.0	17.0	0.0
41.0	22.0	17.0	0.0
42.0	22.0	17.0	0.0
43.0	22.0	17.0	0.0
44.0	22.0	17.0	0.0
45.0	22.0	17.0	0.0
46.0	22.0	17.0	0.0
47.0	22.0	17.0	0.0
48.0	22.0	17.0	0.0
49.0	22.0	17.0	0.0
0.0	23.0	17.0	0.0
1.0	23.0	17.0	0.0
2.0	23.0	17.0	0.0
3.0	23.0	17.0	0.0
4.0	23.0	17.0	0.0
5.0	23.0	17.0	0.0
6.0	23.0	17.0	0.0
7.0	23.0	17.0	0.0
8.0	23.0	17.0	0.0
9.0	23.0	17.0	0.0
10.0	23.0	17.0	0.0
11.0	23.0	17.0	0.0
12.0	23.0	17.0	0.0
13.0	23.0	17.0	0.0
14.0	23.0	17.0	0.0
15.0	23.0	17.0	0.0
16.0	23.0	17.0	0.0
17.0	23.0	17.0	0.0
18.0	23.0	17.0	0.0
19.0	23.0	17.0	0.0
20.0	23.0	17.0	0.0
21.0	23.0	17.0	0.0
22.0	23.0	17.0	0.0
23.0	23.0	17.0	0.0
24.0	23.0	17.0	0.0
25.0	23.0	17.0	0.0
26.0	23.0	17.0	0.0
27.0	23.0	17.0	0.0
28.0	23.0	17.0	0.0
29.0	23.0	17.0	0.0
30.0	23.0	17.0	0.0
31.0	23.0	17.0	0.0
32.0	23.0	17.0	0.0
33.0	23.0	17.0	0.0
34.0	23.0	17.0	0.0
35.0	23.0	17.0	0.0
36.0	23.0	17.0	0.0
37.0	23.0	17.0	0.0
38.0	23.0	17.0	0.0
39.0	23.0	17.0	0.0
40.0	23.0	17.0	0.0
41.0	23.0	17.0	0.0
42.0	23.0	17.0	0.0
43.0	23.0	17.0	0.0
44.0	23.0	17.0	0.0
45.0	23.0	17.0	0.0
46.0	23.0	17.0	0.0
47.0	23.0	17.0	0.0
48.0	23.0	17.0	0.0
49.0	23.0	17.0	0.0
0.0	24.0	17.0	0.0
1.0	24.0	17.0	0.0
2.0	24.0	17.0	0.0
3.0	24.0	17.0	0.0
4.0	24.0	17.0	0.0
5.0	24.0	17.0	0.0
6.0	24.0	17.0	0.0
7.0	24.0	17.0	0.0
8.0	24.0	17.0	0.0
9.0	24.0	17.0	0.0
10.0	24.0	17.0	0.0
11.0	24.0	17.0	0.0
12.0	24.0	17.0	0.0
13.0	24.0	17.0	0.0
14.0	24.0	17.0	0.0
15.0	24.0	17.0	0.0
16.0	24.0	17.0	0.0
17.0	24.0	17.0	0.0
18.0	24.0	17.0	0.0
19.0	24.0	17.0	0.0
20.0	24.0	17.0	0.0
21.0	24.0	17.0	0.0
22.0	24.0	17.0	0.0
23.0	24.0	17.0	0.0
24.0	24.0	17.0	0.0
25.0	24.0	17.0	0.0
26.0	24.0	17.0	0.0
27.0	24.0	17.0	0.0
28.0	24.0	17.0	0.0
29.0	24.0	17.0	0.0
30.0	24.0	17.0	0.0
31.0	24.0	17.0	0.0
32.0	24.0	17.0	0.0
33.0	24.0	17.0	0.0
34.0	24.0	17.0	0.0
35.0	24.0	17.0	0.0
36.0	24.0	17.0	0.0
37.0	24.0	17.0	0.0
38.0	24.0	17.0	0.0
39.0	24.0	17.0	0.0
40.0	24.0	17.0	0.0
41.0	24.0	17.0	0.0
42.0	24.0	17.0	0.0
43.0	24.0	17.0	0.0
44.0	24.0	17.0	0.0
45.0	24.0	17.0	0.0
46.0	24.0	17.0	0.0
47.0	24.0	17.0	0.0
48.0	24.0	17.0	0.0
49.0	24.0	17.0	0.0
0.0	25.0	17.0	0.0
1.0	25.0	17.0	0.0
2.0	25.0	17.0	0.0
3.0	25.0	17.0	0.0
4.0	25.0	17.0	0.0
5.0	25.0	17.0	0.0
6.0	25.0	17.0	0.0
7.0	25.0	17.0	0.0
8.0	25.0	17.0	0.0
9.0	25.0	17.0	0.0
10.0	25.0	17.0	0.0
11.0	25.0	17.0	0.0
12.0	25.0	17.0	0.0
13.0	25.0	17.0	0.0
14.0	25.0	17.0	0.0
15.0	25.0	17.0	0.0
16.0	25.0	17.0	0.0
17.0	25.0	17.0	0.0
18.0	25.0	17.0	0.0
19.0	25.0	17.0	0.0
20.0	25.0	17.0	0.0
21.0	25.0	17.0	0.0
22.0	25.0	17.0	0.0
23.0	25.0	17.0	0.0
24.0	25.0	17.0	0.0
25.0	25.0	17.0	0.0
26.0	25.0	17.0	0.0
27.0	25.0	17.0	0.0
28.0	25.0	17.0	0.0
29.0	25.0	17.0	0.0
30.0	25.0	17.0	0.0
31.0	25.0	17.0	0.0
32.0	25.0	17.0	0.0
33.0	25.0	17.0	0.0
34.0	25.0	17.0	0.0
35.0	25.0	17.0	0.0
36.0	25.0	17.0	0.0
37.0	25.0	17.0	0.0
38.0	25.0	17.0	0.0
39.0	25.0	17.0	0.0
40.0	25.0	17.0	0.0
41.0	25.0	17.0	0.0
42.0	25.0	17.0	0.0
43.0	25.0	17.0	0.0
44.0	25.0	17.0	0.0
45.0	25.0	17.0	0.0
46.0	25.0	17.0	0.0
47.0	25.0	17.0	0.0
48.0	25.0	17.0	0.0
49.0	25.0	17.0	0.0
0.0	26.0	17.0	0.0
1.0	26.0	17.0	0.0
2.0	26.0	17.0	0.0
3.0	26.0	17.0	0.0
4.0	26.0	17.0	0.0
5.0	26.0	17.0	0.0
6.0	26.0	17.0	0.0
7.0	26.0	17.0	0.0
8.0	26.0	17.0	0.0
9.0	26.0	17.0	0.0
10.0	26.0	17.0	0.0
11.0	26.0	17.0	0.0
12.0	26.0	17.0	0.0
13.0	26.0	17.0	0.0
14.0	26.0	17.0	0.0
15.0	26.0	17.0	0.0
16.0	26.0	17.0	0.0
17.0	26.0	17.0	0.0
18.0	26.0	17.0	0.0
19.0	26.0	17.0	0.0
20.0	26.0	17.0	0.0
21.0	26.0	17.0	0.0
22.0	26.0	17.0	0.0
23.0	26.0	17.0	0.0
24.0	26.0	17.0	0.0
25.0	26.0	17.0	0.0
26.0	26.0	17.0	0.0
27.0	26.0	17.0	0.0
28.0	26.0	17.0	0.0
29.0	26.0	17.0	0.0
30.0	26.0	17.0	0.0
31.0	26.0	17.0	0.0
32.0	26.0	17.0	0.0
33.0	26.0	17.0	0.0
34.0	26.0	17.0	0.0
35.0	26.0	17.0	0.0
36.0	26.0	17.0	0.0
37.0	26.0	17.0	0.0
38.0	26.0	17.0	0.0
39.0	26.0	17.0	0.0
40.0	26.0	17.0	0.0
41.0	26.0	17.0	0.0
42.0	26.0	17.0	0.0
43.0	26.0	17.0	0.0
44.0	26.0	17.0	0.0
45.0	26.0	17.0	0.0
46.0	26.0	17.0	0.0
47.0	26.0	17.0	0.0
48.0	26.0	17.0	0.0
49.0	26.0	17.0	0.0
0.0	27.0	17.0	0.0
1.0	27.0	17.0	0.0
2.0	27.0	17.0	0.0
3.0	27.0	17.0	0.0
4.0	27.0	17.0	0.0
5.0	27.0	17.0	0.0
6.0	27.0	17.0	0.0
7.0	27.0	17.0	0.0
8.0	27.0	17.0	0.0
9.0	27.0	17.0	0.0
10.0	27.0	17.0	0.0
11.0	27.0	17.0	0.0
12.0	27.0	17.0	0.0
13.0	27.0	17.0	0.0
14.0	27.0	17.0	0.0
15.0	27.0	17.0	0.0
16.0	27.0	17.0	0.0
17.0	27.0	17.0	0.0
18.0	27.0	17.0	0.0
19.0	27.0	17.0	0.0
20.0	27.0	17.0	0.0
21.0	27.0	17.0	0.0
22.0	27.0	17.0	0.0
23.0	27.0	17.0	0.0
24.0	27.0	17.0	0.0
25.0	27.0	17.0	0.0
26.0	27.0	17.0	0.0
27.0	27.0	17.0	0.0
28.0	27.0	17.0	0.0
29.0	27.0	17.0	0.0
30.0	27.0	17.0	0.0
31.0	27.0	17.0	0.0
32.0	27.0	17.0	0.0
33.0	27.0	17.0	0.0
34.0	27.0	17.0	0.0
35.0	27.0	17.0	0.0
36.0	27.0	17.0	0.0
37.0	27.0	17.0	0.0
38.0	27.0	17.0	0.0
39.0	27.0	17.0	0.0
40.0	27.0	17.0	0.0
41.0	27.0	17.0	0.0
42.0	27.0	17.0	0.0
43.0	27.0	17.0	0.0
44.0	27.0	17.0	0.0
45.0	27.0	17.0	0.0
46.0	27.0	17.0	0.0
47.0	27.0	17.0	0.0
48.0	27.0	17.0	0.0
49.0	27.0	17.0	0.0
0.0	28.0	17.0	0.0
1.0	28.0	17.0	0.0
2.0	28.0	17.0	0.0
3.0	28.0	17.0	0.0
4.0	28.0	17.0	0.0
5.0	28.0	17.0	0.0
6.0	28.0	17.0	0.0
7.0	28.0	17.0	0.0
8.0	28.0	17.0	0.0
9.0	28.0	17.0	0.0
10.0	28.0	17.0	0.0
11.0	28.0	17.0	0.0
12.0	28.0	17.0	0.0
13.0	28.0	17.0	0.0
14.0	28.0	17.0	0.0
15.0	28.0	17.0	0.0
16.0	28.0	17.0	0.0
17.0	28.0	17.0	0.0
18.0	28.0	17.0	0.0
19.0	28.0	17.0	0.0
20.0	28.0	17.0	0.0
21.0	28.0	17.0	0.0
22.0	28.0	17.0	0.0
23.0	28.0	17.0	0.0
24.0	28.0	17.0	0.0
25.0	28.0	17.0	0.0
26.0	28.0	17.0	0.0
27.0	28.0	17.0	0.0
28.0	28.0	17.0	0.0
29.0	28.0	17.0	0.0
30.0	28.0	17.0	0.0
31.0	28.0	17.0	0.0
32.0	28.0	17.0	0.0
33.0	28.0	17.0	0.0
34.0	28.0	17.0	0.0
35.0	28.0	17.0	0.0
36.0	28.0	17.0	0.0
37.0	28.0	17.0	0.0
38.0	28.0	17.0	0.0
39.0	28.0	17.0	0.0
40.0	28.0	17.0	0.0
41.0	28.0	17.0	0.0
42.0	28.0	17.0	0.0
43.0	28.0	17.0	0.0
44.0	28.0	17.0	0.0
45.0	28.0	17.0	0.0
46.0	28.0	17.0	0.0
47.0	28.0	17.0	0.0
48.0	28.0	17.0	0.0
49.0	28.0	17.0	0.0
0.0	29.0	17.0	0.0
1.0	29.0	17.0	0.0
2.0	29.0	17.0	0.0
3.0	29.0	17.0	0.0
4.0	29.0	17.0	0.0
5.0	29.0	17.0	0.0
6.0	29.0	17.0	0.0
7.0	29.0	17.0	0.0
8.0	29.0	17.0	0.0
9.0	29.0	17.0	0.0
10.0	29.0	17.0	0.0
11.0	29.0	17.0	0.0
12.0	29.0	17.0	0.0
13.0	29.0	17.0	0.0
14.0	29.0	17.0	0.0
15.0	29.0	17.0	0.0
16.0	29.0	17.0	0.0
17.0	29.0	17.0	0.0
18.0	29.0	17.0	0.0
19.0	29.0	17.0	0.0
20.0	29.0	17.0	0.0
21.0	29.0	17.0	0.0
22.0	29.0	17.0	0.0
23.0	29.0	17.0	0.0
24.0	29.0	17.0	0.0
25.0	29.0	17.0	0.0
26.0	29.0	17.0	0.0
27.0	29.0	17.0	0.0
28.0	29.0	17.0	0.0
29.0	29.0	17.0	0.0
30.0	29.0	17.0	0.0
31.0	29.0	17.0	0.0
32.0	29.0	17.0	0.0
33.0	29.0	17.0	0.0
34.0	29.0	17.0	0.0
35.0	29.0	17.0	0.0
36.0	29.0	17.0	0.0
37.0	29.0	17.0	0.0
38.0	29.0	17.0	0.0
39.0	29.0	17.0	0.0
40.0	29.0	17.0	0.0
41.0	29.0	17.0	0.0
42.0	29.0	17.0	0.0
43.0	29.0	17.0	0.0
44.0	29.0	17.0	0.0
45.0	29.0	17.0	0.0
46.0	29.0	17.0	0.0
47.0	29.0	17.0	0.0
48.0	29.0	17.0	0.0
49.0	29.0	17.0	0.0
0.0	30.0	17.0	0.0
1.0	30.0	17.0	0.0
2.0	30.0	17.0	0.0
3.0	30.0	17.0	0.0
4.0	30.0	17.0	0.0
5.0	30.0	17.0	0.0
6.0	30.0	17.0	0.0
7.0	30.0	17.0	0.0
8.0	30.0	17.0	0.0
9.0	30.0	17.0	0.0
10.0	30.0	17.0	0.0
11.0	30.0	17.0	0.0
12.0	30.0	17.0	0.0
13.0	30.0	17.0	0.0
14.0	30.0	17.0	0.0
15.0	30.0	17.0	0.0
16.0	30.0	17.0	0.0
17.0	30.0	17.0	0.0
18.0	30.0	17.0	0.0
19.0	30.0	17.0	0.0
20.0	30.0	17.0	0.0
21.0	30.0	17.0	0.0
22.0	30.0	17.0	0.0
23.0	30.0	17.0	0.0
24.0	30.0	17.0	0.0
25.0	30.0	17.0	0.0
26.0	30.0	17.0	0.0
27.0	30.0	17.0	0.0
28.0	30.0	17.0	0.0
29.0	30.0	17.0	0.0
30.0	30.0	17.0	0.0
31.0	30.0	17.0	0.0
32.0	30.0	17.0	0.0
33.0	30.0	17.0	0.0
34.0	30.0	17.0	0.0
35.0	30.0	17.0	0.0
36.0	30.0	17.0	0.0
37.0	30.0	17.0	0.0
38.0	30.0	17.0	0.0
39.0	30.0	17.0	0.0
40.0	30.0	17.0	0.0
41.0	30.0	17.0	0.0
42.0	30.0	17.0	0.0
43.0	30.0	17.0	0.0
44.0	30.0	17.0	0.0
45.0	30.0	17.0	0.0
46.0	30.0	17.0	0.0
47.0	30.0	17.0	0.0
48.0	30.0	17.0	0.0
49.0	30.0	17.0	0.0
0.0	31.0	17.0	0.0
1.0	31.0	17.0	0.0
2.0	31.0	17.0	0.0
3.0	31.0	17.0	0.0
4.0	31.0	17.0	0.0
5.0	31.0	17.0	0.0
6.0	31.0	17.0	0.0
7.0	31.0	17.0	0.0
8.0	31.0	17.0	0.0
9.0	31.0	17.0	0.0
10.0	31.0	17.0	0.0
11.0	31.0	17.0	0.0
12.0	31.0	17.0	0.0
13.0	31.0	17.0	0.0
14.0	31.0	17.0	0.0
15.0	31.0	17.0	0.0
16.0	31.0	17.0	0.0
17.0	31.0	17.0	0.0
18.0	31.0	17.0	0.0
19.0	31.0	17.0	0.0
20.0	31.0	17.0	0.0
21.0	31.0	17.0	0.0
22.0	31.0	17.0	0.0
23.0	31.0	17.0	0.0
24.0	31.0	17.0	0.0
25.0	31.0	17.0	0.0
26.0	31.0	17.0	0.0
27.0	31.0	17.0	0.0
28.0	31.0	17.0	0.0
29.0	31.0	17.0	0.0
30.0	31.0	17.0	0.0
31.0	31.0	17.0	0.0
32.0	31.0	17.0	0.0
33.0	31.0	17.0	0.0
34.0	31.0	17.0	0.0
35.0	31.0	17.0	0.0
36.0	31.0	17.0	0.0
37.0	31.0	17.0	0.0
38.0	31.0	17.0	0.0
39.0	31.0	17.0	0.0
40.0	31.0	17.0	0.0
41.0	31.0	17.0	0.0
42.0	31.0	17.0	0.0
43.0	31.0	17.0	0.0
44.0	31.0	17.0	0.0
45.0	31.0	17.0	0.0
46.0	31.0	17.0	0.0
47.0	31.0	17.0	0.0
48.0	31.0	17.0	0.0
49.0	31.0	17.0	0.0
0.0	32.0	17.0	0.0
1.0	32.0	17.0	0.0
2.0	32.0	17.0	0.0
3.0	32.0	17.0	0.0
4.0	32.0	17.0	0.0
5.0	32.0	17.0	0.0
6.0	32.0	17.0	0.0
7.0	32.0	17.0	0.0
8.0	32.0	17.0	0.0
9.0	32.0	17.0	0.0
10.0	32.0	17.0	0.0
11.0	32.0	17.0	0.0
12.0	32.0	17.0	0.0
13.0	32.0	17.0	0.0
14.0	32.0	17.0	0.0
15.0	32.0	17.0	0.0
16.0	32.0	17.0	0.0
17.0	32.0	17.0	0.0
18.0	32.0	17.0	0.0
19.0	32.0	17.0	0.0
20.0	32.0	17.0	0.0
21.0	32.0	17.0	0.0
22.0	32.0	17.0	0.0
23.0	32.0	17.0	0.0
24.0	32.0	17.0	0.0
25.0	32.0	17.0	0.0
26.0	32.0	17.0	0.0
27.0	32.0	17.0	0.0
28.0	32.0	17.0	0.0
29.0	32.0	17.0	0.0
30.0	32.0	17.0	0.0
31.0	32.0	17.0	0.0
32.0	32.0	17.0	0.0
33.0	32.0	17.0	0.0
34.0	32.0	17.0	0.0
35.0	32.0	17.0	0.0
36.0	32.0	17.0	0.0
37.0	32.0	17.0	0.0
38.0	32.0	17.0	0.0
39.0	32.0	17.0	0.0
40.0	32.0	17.0	0.0
41.0	32.0	17.0	0.0
42.0	32.0	17.0	0.0
43.0	32.0	17.0	0.0
44.0	32.0	17.0	0.0
45.0	32.0	17.0	0.0
46.0	32.0	17.0	0.0
47.0	32.0	17.0	0.0
48.0	32.0	17.0	0.0
49.0	32.0	17.0	0.0
0.0	33.0	17.0	0.0
1.0	33.0	17.0	0.0
2.0	33.0	17.0	0.0
3.0	33.0	17.0	0.0
4.0	33.0	17.0	0.0
5.0	33.0	17.0	0.0
6.0	33.0	17.0	0.0
7.0	33.0	17.0	0.0
8.0	33.0	17.0	0.0
9.0	33.0	17.0	0.0
10.0	33.0	17.0	0.0
11.0	33.0	17.0	0.0
12.0	33.0	17.0	0.0
13.0	33.0	17.0	0.0
14.0	33.0	17.0	0.0
15.0	33.0	17.0	0.0
16.0	33.0	17.0	0.0
17.0	33.0	17.0	0.0
18.0	33.0	17.0	0.0
19.0	33.0	17.0	0.0
20.0	33.0	17.0	0.0
21.0	33.0	17.0	0.0
22.0	33.0	17.0	0.0
23.0	33.0	17.0	0.0
24.0	33.0	17.0	0.0
25.0	33.0	17.0	0.0
26.0	33.0	17.0	0.0
27.0	33.0	17.0	0.0
28.0	33.0	17.0	0.0
29.0	33.0	17.0	0.0
30.0	33.0	17.0	0.0
31.0	33.0	17.0	0.0
32.0	33.0	17.0	0.0
33.0	33.0	17.0	0.0
34.0	33.0	17.0	0.0
35.0	33.0	17.0	0.0
36.0	33.0	17.0	0.0
37.0	33.0	17.0	0.0
38.0	33.0	17.0	0.0
39.0	33.0	17.0	0.0
40.0	33.0	17.0	0.0
41.0	33.0	17.0	0.0
42.0	33.0	17.0	0.0
43.0	33.0	17.0	0.0
44.0	33.0	17.0	0.0
45.0	33.0	17.0	0.0
46.0	33.0	17.0	0.0
47.0	33.0	17.0	0.0
48.0	33.0	17.0	0.0
49.0	33.0	17.0	0.0
0.0	34.0	17.0	0.0
1.0	34.0	17.0	0.0
2.0	34.0	17.0	0.0
3.0	34.0	17.0	0.0
4.0	34.0	17.0	0.0
5.0	34.0	17.0	0.0
6.0	34.0	17.0	0.0
7.0	34.0	17.0	0.0
8.0	34.0	17.0	0.0
9.0	34.0	17.0	0.0
10.0	34.0	17.0	0.0
11.0	34.0	17.0	0.0
12.0	34.0	17.0	0.0
13.0	34.0	17.0	0.0
14.0	34.0	17.0	0.0
15.0	34.0	17.0	0.0
16.0	34.0	17.0	0.0
17.0	34.0	17.0	0.0
18.0	34.0	17.0	0.0
19.0	34.0	17.0	0.0
20.0	34.0	17.0	0.0
21.0	34.0	17.0	0.0
22.0	34.0	17.0	0.0
23.0	34.0	17.0	0.0
24.0	34.0	17.0	0.0
25.0	34.0	17.0	0.0
26.0	34.0	17.0	0.0
27.0	34.0	17.0	0.0
28.0	34.0	17.0	0.0
29.0	34.0	17.0	0.0
30.0	34.0	17.0	0.0
31.0	34.0	17.0	0.0
32.0	34.0	17.0	0.0
33.0	34.0	17.0	0.0
34.0	34.0	17.0	0.0
35.0	34.0	17.0	0.0
36.0	34.0	17.0	0.0
37.0	34.0	17.0	0.0
38.0	34.0	17.0	0.0
39.0	34.0	17.0	0.0
40.0	34.0	17.0	0.0
41.0	34.0	17.0	0.0
42.0	34.0	17.0	0.0
43.0	34.0	17.0	0.0
44.0	34.0	17.0	0.0
45.0	34.0	17.0	0.0
46.0	34.0	17.0	0.0
47.0	34.0	17.0	0.0
48.0	34.0	17.0	0.0
49.0	34.0	17.0	0.0
0.0	35.0	17.0	0.0
1.0	35.0	17.0	0.0
2.0	35.0	17.0	0.0
3.0	35.0	17.0	0.0
4.0	35.0	17.0	0.0
5.0	35.0	17.0	0.0
6.0	35.0	17.0	0.0
7.0	35.0	17.0	0.0
8.0	35.0	17.0	0.0
9.0	35.0	17.0	0.0
10.0	35.0	17.0	0.0
11.0	35.0	17.0	0.0
12.0	35.0	17.0	0.0
13.0	35.0	17.0	0.0
14.0	35.0	17.0	0.0
15.0	35.0	17.0	0.0
16.0	35.0	17.0	0.0
17.0	35.0	17.0	0.0
18.0	35.0	17.0	0.0
19.0	35.0	17.0	0.0
20.0	35.0	17.0	0.0
21.0	35.0	17.0	0.0
22.0	35.0	17.0	0.0
23.0	35.0	17.0	0.0
24.0	35.0	17.0	0.0
25.0	35.0	17.0	0.0
26.0	35.0	17.0	0.0
27.0	35.0	17.0	0.0
28.0	35.0	17.0	0.0
29.0	35.0	17.0	0.0
30.0	35.0	17.0	0.0
31.0	35.0	17.0	0.0
32.0	35.0	17.0	0.0
33.0	35.0	17.0	0.0
34.0	35.0	17.0	0.0
35.0	35.0	17.0	0.0
36.0	35.0	17.0	0.0
37.0	35.0	17.0	0.0
38.0	35.0	17.0	0.0
39.0	35.0	17.0	0.0
40.0	35.0	17.0	0.0
41.0	35.0	17.0	0.0
42.0	35.0	17.0	0.0
43.0	35.0	17.0	0.0
44.0	35.0	17.0	0.0
45.0	35.0	17.0	0.0
46.0	35.0	17.0	0.0
47.0	35.0	17.0	0.0
48.0	35.0	17.0	0.0
49.0	35.0	17.0	0.0
0.0	36.0	17.0	0.0
1.0	36.0	17.0	0.0
2.0	36.0	17.0	0.0
3.0	36.0	17.0	0.0
4.0	36.0	17.0	0.0
5.0	36.0	17.0	0.0
6.0	36.0	17.0	0.0
7.0	36.0	17.0	0.0
8.0	36.0	17.0	0.0
9.0	36.0	17.0	0.0
10.0	36.0	17.0	0.0
11.0	36.0	17.0	0.0
12.0	36.0	17.0	0.0
13.0	36.0	17.0	0.0
14.0	36.0	17.0	0.0
15.0	36.0	17.0	0.0
16.0	36.0	17.0	0.0
17.0	36.0	17.0	0.0
18.0	36.0	17.0	0.0
19.0	36.0	17.0	0.0
20.0	36.0	17.0	0.0
21.0	36.0	17.0	0.0
22.0	36.0	17.0	0.0
23.0	36.0	17.0	0.0
24.0	36.0	17.0	0.0
25.0	36.0	17.0	0.0
26.0	36.0	17.0	0.0
27.0	36.0	17.0	0.0
28.0	36.0	17.0	0.0
29.0	36.0	17.0	0.0
30.0	36.0	17.0	0.0
31.0	36.0	17.0	0.0
32.0	36.0	17.0	0.0
33.0	36.0	17.0	0.0
34.0	36.0	17.0	0.0
35.0	36.0	17.0	0.0
36.0	36.0	17.0	0.0
37.0	36.0	17.0	0.0
38.0	36.0	17.0	0.0
39.0	36.0	17.0	0.0
40.0	36.0	17.0	0.0
41.0	36.0	17.0	0.0
42.0	36.0	17.0	0.0
43.0	36.0	17.0	0.0
44.0	36.0	17.0	0.0
45.0	36.0	17.0	0.0
46.0	36.0	17.0	0.0
47.0	36.0	17.0	0.0
48.0	36.0	17.0	0.0
49.0	36.0	17.0	0.0
0.0	37.0	17.0	0.0
1.0	37.0	17.0	0.0
2.0	37.0	17.0	0.0
3.0	37.0	17.0	0.0
4.0	37.0	17.0	0.0
5.0	37.0	17.0	0.0
6.0	37.0	17.0	0.0
7.0	37.0	17.0	0.0
8.0	37.0	17.0	0.0
9.0	37.0	17.0	0.0
10.0	37.0	17.0	0.0
11.0	37.0	17.0	0.0
12.0	37.0	17.0	0.0
13.0	37.0	17.0	0.0
14.0	37.0	17.0	0.0
15.0	37.0	17.0	0.0
16.0	37.0	17.0	0.0
17.0	37.0	17.0	0.0
18.0	37.0	17.0	0.0
19.0	37.0	17.0	0.0
20.0	37.0	17.0	0.0
21.0	37.0	17.0	0.0
22.0	37.0	17.0	0.0
23.0	37.0	17.0	0.0
24.0	37.0	17.0	0.0
25.0	37.0	17.0	0.0
26.0	37.0	17.0	0.0
27.0	37.0	17.0	0.0
28.0	37.0	17.0	0.0
29.0	37.0	17.0	0.0
30.0	37.0	17.0	0.0
31.0	37.0	17.0	0.0
32.0	37.0	17.0	0.0
33.0	37.0	17.0	0.0
34.0	37.0	17.0	0.0
35.0	37.0	17.0	0.0
36.0	37.0	17.0	0.0
37.0	37.0	17.0	0.0
38.0	37.0	17.0	0.0
39.0	37.0	17.0	0.0
40.0	37.0	17.0	0.0
41.0	37.0	17.0	0.0
42.0	37.0	17.0	0.0
43.0	37.0	17.0	0.0
44.0	37.0	17.0	0.0
45.0	37.0	17.0	0.0
46.0	37.0	17.0	0.0
47.0	37.0	17.0	0.0
48.0	37.0	17.0	0.0
49.0	37.0	17.0	0.0
0.0	38.0	17.0	0.0
1.0	38.0	17.0	0.0
2.0	38.0	17.0	0.0
3.0	38.0	17.0	0.0
4.0	38.0	17.0	0.0
5.0	38.0	17.0	0.0
6.0	38.0	17.0	0.0
7.0	38.0	17.0	0.0
8.0	38.0	17.0	0.0
9.0	38.0	17.0	0.0
10.0	38.0	17.0	0.0
11.0	38.0	17.0	0.0
12.0	38.0	17.0	0.0
13.0	38.0	17.0	0.0
